x31.42468322451915; y49.19731926286161; r-90.88707182320451; vx0.023892414308814836; vy0.5086324202297021; vr-0.03580110497236433;
x31.41927361087071; y49.68377985461302; r-90.87513812154708; vx0.007830817638932785; vy0.5126481157858223; vr0.0;
x31.4319592713736; y50.162420652736934; r-90.88707182320454; vx0.028632098089829583; vy0.46708615968856293; vr-0.047734806629819104;
x31.433377209013173; y50.60353117184244; r-90.87513812154708; vx0.01381908995108816; vy0.9046731455044466; vr0.0;
x31.440176680429232; y51.04079582604441; r-90.87513812154708; vx-0.0689077957119899; vy0.7363212518849238; vr0.1790055248617506;
x31.481227888456587; y51.46621502420575; r-90.93480662983436; vx0.0732304542618607; vy0.5568664196838142; vr-0.143204419889571;
x31.515953448403693; y51.93694103472006; r-90.99447513812164; vx0.053711859107608007; vy0.6325259844556115; vr-0.09546961325963821;
x31.508074846942403; y52.43865962479696; r-90.95867403314926; vx-0.012040322631932554; vy0.5582309091121829; vr0.04773480662987595;
x31.51796872974474; y52.83816170811547; r-90.98254143646417; vx0.03804013816868235; vy0.6591846587924977; vr-0.059668508287344935;
x31.53682396471312; y53.30537493131515; r-91.00640883977911; vx0.009535052496843832; vy0.5427834660835913; vr0.0;
x31.533200473160143; y53.712650688522224; r-90.98254143646417; vx-0.0118077822627356; vy0.5582358762524393; vr0.047734806629819104;
x31.551011959590404; y54.119554364170845; r-91.00640883977907; vx0.007151289372632874; vy0.40708759956269347; vr0.0;
x31.569068851582628; y54.53399024889395; r-91.03027624309398; vx0.03087144889367721; vy0.527322190129297; vr-0.04773480662976226;
x31.577203148360685; y54.986306454746575; r-91.03027624309398; vx0.009761156133677673; vy0.5427794470231504; vr0.0;
x31.577663270094895; y55.43121962878129; r-91.03027624309401; vx-0.019850971137969964; vy0.5734761471985337; vr0.0;
x31.591134000983452; y55.87966934204226; r-91.04220994475146; vx0.010971341465960904; vy0.6030860024144147; vr0.0;
x31.582674621999082; y56.30589365721592; r-91.00640883977911; vx0.010064777635548694; vy0.5729381030882337; vr0.0;
x31.56890468896068; y56.75104809440211; r-90.95867403314928; vx-0.03315705261736923; vy0.5736794186248062; vr0.09546961325963821;
x31.57663208083276; y57.21091345650158; r-90.95867403314928; vx0.010596647015134408; vy0.6332564252493569; vr0.0;
